Code,SMILES,Classifications,Backbone_Type,Backbone_Info
QU35,OC(=O)[C@H](Cc1ccc2c(c1)nccc2)[NH3],cyclic;d_amino,alpha,默认分类
QU36,OC(=O)[C@H](Cc1ccc2c(c1)cncc2)[NH3],cyclic;d_amino,alpha,默认分类
QX32,OC(=O)[C@H](Cc1cnc2c(n1)cccc2)[NH3],cyclic;d_amino,alpha,默认分类
SEP,OC(=O)[C@H](COP(=O)(O)O)[NH3],d_amino,alpha,默认分类
SEP2,OC(=O)[C@H](COP(=O)(O)O)[NH3],d_amino,alpha,默认分类
SER,[NH3][C@@H](CO)C(=O)O,unclassified,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
SLZ,[NH3][C@H](C(=O)O)CSCC[NH3],cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
SME,C[S@@](=O)CC[C@@H](C(=O)O)[NH3],unclassified,alpha,默认分类
STYA,OC(=O)[C@H](CC=Cc1ccccc1)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
SYM,OC(=O)[C@H](C[C@H]([C](=O)=O)C)[NH3],d_amino,alpha,默认分类
TBP4,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C(C)(C)C,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TEZA,OC(=O)[C@H](Cn1nncn1)[NH3],cyclic;d_amino,alpha,默认分类
TFG2,OC(=O)[C@H](c1ccccc1C(F)(F)F)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
TFG3,OC(=O)[C@H](c1cccc(c1)C(F)(F)F)[NH3],cyclic;d_amino,alpha,默认分类
TFG4,[NH3][C@@H](c1ccc(cc1)C(F)(F)F)C(=O)O,cyclic,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TFLE,OC(=O)[C@H](C[C@@H](C(F)(F)F)C)[NH3],d_amino,alpha,默认分类
TFP2,OC(=O)[C@H](Cc1ccccc1C(F)(F)F)[NH3],aromatic;cyclic;d_amino,alpha,默认分类
TFP3,OC(=O)[C@H](Cc1cccc(c1)C(F)(F)F)[NH3],cyclic;d_amino,alpha,默认分类
TFP4,[NH3][C@H](C(=O)O)Cc1ccc(cc1)C(F)(F)F,cyclic;d_amino,alpha,匹配模式: \[NH3\]\[C@@?H\].*C\(=O\)O
TH6,OC[C@H]([C@@H]([C](=O)=O)[NH3])O,d_amino,alpha,默认分类
